#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2	cn_clone3	u_clone3
1	1	26314488	MPAM06PT1	1|1	0.7668735864237893	2|2	0.2331264135762107	2|2	0.0	2|2	0.0
1	1	26314488	MPAM06PT10	1|1	0.6214728965059255	2|2	0.3134929583106113	2|2	0.0	2|2	0.0650341451834631
1	1	26314488	MPAM06PT2	1|1	0.7208184518994245	2|2	0.2791815481005755	2|2	0.0	2|2	0.0
1	1	26314488	MPAM06PT3	1|1	0.7694526450070667	2|2	0.2305473549929333	2|2	0.0	2|2	0.0
1	1	26314488	MPAM06PT4	1|1	0.3621479727649376	2|2	0.0	2|2	0.5635151848144422	2|2	0.0743368424206201
1	1	26314488	MPAM06PT5	1|1	0.8711732412299596	2|2	0.1288267587700404	2|2	0.0	2|2	0.0
1	1	26314488	MPAM06PT7	1|1	0.8124791605712867	2|2	0.1875208394287133	2|2	0.0	2|2	0.0
1	1	26314488	MPAM06PT8	1|1	0.5322664784161162	2|2	0.0	2|2	0.42284950435239	2|2	0.0448840172314937
1	1	26314488	MPAM06PT9	1|1	0.7474143078526612	2|2	0.046403858809337	2|2	0.1761818333380018	2|2	0.03
1	26314488	26644978	MPAM06PT1	1|1	0.7668735864237893	2|2	0.2331264135762107	2|2	0.0	2|1	0.0
1	26314488	26644978	MPAM06PT10	1|1	0.6214728965059255	2|2	0.3134929583106113	2|2	0.0	2|1	0.0650341451834631
1	26314488	26644978	MPAM06PT2	1|1	0.7208184518994245	2|2	0.2791815481005755	2|2	0.0	2|1	0.0
1	26314488	26644978	MPAM06PT3	1|1	0.7694526450070667	2|2	0.2305473549929333	2|2	0.0	2|1	0.0
1	26314488	26644978	MPAM06PT4	1|1	0.3621479727649376	2|2	0.0	2|2	0.5635151848144422	2|1	0.0743368424206201
1	26314488	26644978	MPAM06PT5	1|1	0.8711732412299596	2|2	0.1288267587700404	2|2	0.0	2|1	0.0
1	26314488	26644978	MPAM06PT7	1|1	0.8124791605712867	2|2	0.1875208394287133	2|2	0.0	2|1	0.0
1	26314488	26644978	MPAM06PT8	1|1	0.5322664784161162	2|2	0.0	2|2	0.42284950435239	2|1	0.0448840172314937
1	26314488	26644978	MPAM06PT9	1|1	0.7474143078526612	2|2	0.046403858809337	2|2	0.1761818333380018	2|1	0.03
1	26644978	40002884	MPAM06PT1	1|1	0.7668735864237893	2|2	0.2331264135762107	2|2	0.0	2|2	0.0
1	26644978	40002884	MPAM06PT10	1|1	0.6214728965059255	2|2	0.3134929583106113	2|2	0.0	2|2	0.0650341451834631
1	26644978	40002884	MPAM06PT2	1|1	0.7208184518994245	2|2	0.2791815481005755	2|2	0.0	2|2	0.0
1	26644978	40002884	MPAM06PT3	1|1	0.7694526450070667	2|2	0.2305473549929333	2|2	0.0	2|2	0.0
